"Organism","Limb_width","Limb_length","Observer","Volume"
"Cirsium vulgare",2.01725460631826,4.42839686884358,"Kyle",14.1461293027116
"Vulpes vulpes",2.05209168431011,7.48439505153218,"Alexandra",24.7411499060374
"Cardinalis cardinalis",1.64375930767657,4.10547837651175,"Kyle",8.70782867535731
"Vulpes vulpes",1.49458452501605,8.21377615135183,"Kyle",14.4030172939715
"Vulpes vulpes",1.32507961727528,5.35625447048144,"Alexandra",7.38269294003988
"Danaus plexippus",2.69893229873893,8.76282957007972,"Kyle",50.1069540401268
"Cirsium vulgare",2.23299605449654,7.30981201014497,"Kyle",28.6122345357429
"Danaus plexippus",2.01320868380459,2.56586389687426,"Mark",8.16358394344068
"Danaus plexippus",1.38566078929755,5.72777540007545,"Alexandra",8.63315408013976
"Vulpes vulpes",3.06574392252457,7.39065386801484,"Alexandra",54.5285905037954
"Cardinalis cardinalis",3.01969685332452,5.53814436158187,"Mark",39.642462295825
"Cardinalis cardinalis",2.17876723398938,6.51292866546608,"Mark",24.2698811170899
"Cirsium vulgare",2.30604998724287,8.79783109893664,"Mark",36.7267679513978
"Betula papyrifera",1.25904653430116,6.35401634437026,"Kyle",7.90681446638982
"Vulpes vulpes",1.64414528930632,7.84224337399788,"Mark",16.6414190850909
"Betula papyrifera",2.05543027359159,7.5489999667995,"Mark",25.0359789525861
"Cirsium vulgare",2.19104689440459,6.20875646423839,"Alexandra",23.3979402398531
"Cirsium vulgare",2.33671142718216,0.413573625759715,"Alexandra",1.77268943695777
"Cirsium vulgare",2.36437400768387,7.9055542316763,"Mark",34.6923989303246
"Vulpes vulpes",1.47904318521502,7.94148554723725,"Alexandra",13.6374482661132
"Vulpes vulpes",1.8419789941683,7.09542520734141,"Mark",18.8980689725339
"Vulpes vulpes",2.05046392251375,5.42600471288175,"Mark",17.9082887447822
"Cirsium vulgare",2.06687787039608,5.20966062194431,"Kyle",17.4706361918448
"Vulpes vulpes",1.85128399015265,2.79713022275133,"Alexandra",7.52537997297234
"Cirsium vulgare",2.38582516520351,3.46578092912624,"Alexandra",15.4863116417798
"Betula papyrifera",2.3452102049408,8.04905334975292,"Alexandra",34.7518567431407
"Danaus plexippus",1.72130209450715,2.62996285653945,"Alexandra",6.11692937269508
"Cardinalis cardinalis",1.60300375650309,5.05747485189533,"Mark",10.201698137482
"Betula papyrifera",2.3684603844997,7.07163072868956,"Mark",31.1402059889824
"Cirsium vulgare",1.80515467609865,6.89955784593336,"Kyle",17.6489859864525
"Danaus plexippus",1.69818556481033,5.20506371224531,"Alexandra",11.7832745372413
"Cardinalis cardinalis",1.90263825654088,5.76242071207883,"Alexandra",16.3752172060394
"Cirsium vulgare",2.08203928396991,6.36365903979713,"Alexandra",21.6548110299222
"Vulpes vulpes",1.67154631163246,5.38796746365716,"Kyle",11.817658842754
"Cardinalis cardinalis",1.63393111027721,5.81403269863233,"Kyle",12.1846935354548
"Cardinalis cardinalis",2.25360217469279,7.07934143465415,"Alexandra",28.2238997988338
"Danaus plexippus",2.23836096834903,7.54901905398524,"Alexandra",29.6906993020062
"Betula papyrifera",1.4168208288215,2.94725228256982,"Kyle",4.64426331768343
"Cardinalis cardinalis",2.20310670845808,7.46651081138431,"Alexandra",28.4484376715469
"Danaus plexippus",2.58396006066994,1.31673541335554,"Alexandra",6.90144078457932
"Cardinalis cardinalis",2.11450684029521,6.40446550866957,"Mark",22.478676468487
"Cirsium vulgare",2.82275656021016,7.08565166154036,"Alexandra",44.3196483292368
"Vulpes vulpes",1.92260127526691,2.62445536853512,"Mark",7.61530497331788
"Danaus plexippus",2.09615953046448,5.62610513252869,"Kyle",19.4055592917549
"Danaus plexippus",2.22475226362379,6.04604752278489,"Kyle",23.491163514676
"Danaus plexippus",1.88805786636114,8.34337002157485,"Kyle",23.3475741166459
"Cirsium vulgare",1.49111580439806,1.5950717538186,"Kyle",2.78402177569138
"Betula papyrifera",1.93848413221618,3.99111156482954,"Mark",11.773023893054
"Betula papyrifera",1.92009255553574,3.73934326305149,"Kyle",10.8220445785555
"Cirsium vulgare",2.20224917634322,5.13265657691885,"Mark",19.5409096195513
"Cirsium vulgare",3.18300682737075,3.30918522184095,"Alexandra",26.3187872386424
"Cirsium vulgare",1.21429362131457,3.3668848064572,"Mark",3.89713402676781
"Cirsium vulgare",2.68690633199502,7.40199807361681,"Mark",41.9491995285349
"Betula papyrifera",1.91874100162461,4.45455793703892,"Mark",12.8738066074682
"Vulpes vulpes",2.74315380544002,2.08715379297154,"Alexandra",12.3289027116326
"Vulpes vulpes",1.60569462241464,6.99698131213437,"Alexandra",14.1614028223973
"Vulpes vulpes",1.78724382978181,6.420927522918,"Kyle",16.100339627649
"Danaus plexippus",2.03939412356007,6.03981379542329,"Alexandra",19.7194834118273
"Cirsium vulgare",1.91471780370767,8.42522791447573,"Mark",24.2471593037298
"Danaus plexippus",1.77658589839033,7.16874569124051,"Mark",17.7617295157118
"Danaus plexippus",1.56076678903925,5.36966889281392,"Mark",10.2681734032077
"Vulpes vulpes",1.99015332196789,4.61985264228544,"Kyle",14.3638496869736
"Vulpes vulpes",2.36939542015479,3.18387290966218,"Mark",14.0313826939128
"Danaus plexippus",2.08597854070165,7.62571251343366,"Kyle",26.0477225890555
"Danaus plexippus",2.87672587764998,5.99435919622379,"Kyle",38.9412044614071
"Cardinalis cardinalis",2.41395135745064,4.60128917434096,"Kyle",21.0477760327284
"Betula papyrifera",2.70700278930656,4.18801301370845,"Mark",24.0910143219055
"Vulpes vulpes",1.88000079624972,5.6319355970021,"Kyle",15.6258410778627
"Cirsium vulgare",2.52009263927765,6.50938750753808,"Alexandra",32.4520991776694
"Betula papyrifera",1.97868099591575,8.64023115897922,"Alexandra",26.5550169946555
"Betula papyrifera",2.9095812256663,5.77977142667626,"Mark",38.4097333214742
"Cirsium vulgare",1.96246645973177,2.77536322241264,"Alexandra",8.3906184312776
"Betula papyrifera",0.88205121041187,5.60345108952597,"Alexandra",3.42225875166942
"Cirsium vulgare",1.72098025262506,3.94117196193902,"Kyle",9.16319260618784
"Betula papyrifera",2.41645887598142,5.94960198746499,"Mark",27.2719622752216
"Vulpes vulpes",2.2979793925703,3.56427597506793,"Kyle",14.7751956204275
"Cardinalis cardinalis",2.62069425858718,6.67471478758448,"Mark",35.9861249983279
"Vulpes vulpes",1.69284378348723,3.53252900571306,"Mark",7.94674284125344
"Danaus plexippus",1.890446195147,5.79555280910025,"Kyle",16.2589751265594
